NDB_No;Nutr_no;DataSrc_ID
01103;749;R016
01103;750;R016
01103;751;R016
01103;752;R016
01103;753;R016
01103;770;R115
01103;773;R115
01103;786;R115
01103;788;R115
01103;789;R115
01103;794;R016
02007;770;R163
02007;773;R163
02023;762;R308
02023;770;R308
02023;773;R308
02023;786;R308
02023;789;R308
02029;770;R124
02029;770;R179
02029;773;R179
02029;785;R179
02029;786;R179
02029;789;R124
02037;786;R039
02044;759;R133
02044;770;R133
02044;773;R133
02044;785;R133
02044;786;R133
02044;789;R133
02045;759;R133
02045;770;R133
02045;770;R170
02045;773;R133
02045;773;R170
02045;785;R133
02045;786;R133
02045;786;R170
02045;788;R170
02045;789;R133
02045;789;R170
02049;759;R133
02049;762;R308
02049;770;R133
02049;770;R308
02049;773;R133
02049;773;R308
02049;785;R133
02049;786;R133
02049;786;R308
02049;789;R133
02049;789;R308
02054;786;R098
02054;786;R125
02054;789;R098
02054;789;R125
02063;759;R133
02063;762;R308
02063;770;R133
02063;770;R308
02063;773;R133
02063;773;R308
02063;785;R133
02063;786;R133
02063;786;R308
02063;789;R133
02063;789;R308
02064;758;R013
02064;759;R013
02064;759;R133
02064;770;R013
02064;770;R133
02064;773;R013
02064;773;R133
02064;785;R133
02064;786;R133
02064;789;R133
04053;770;R029
04053;770;R057
04053;770;R185
04053;770;R305
04053;773;R014
04053;773;R029
04053;773;R057
04053;773;R093
04053;773;R136
04053;773;R185
04053;773;R305
06159;786;R260
06159;789;R260
06931;786;R260
06931;789;R260
09001;731;R054
09001;743;R054
09001;770;R230
09001;773;R230
09001;786;R230
09001;788;R230
09001;789;R230
09003;731;R011
09003;731;R085
09003;731;R110
09003;731;R276
09003;731;R279
09003;731;R283
09003;731;R294
09003;740;R110
09003;741;R085
09003;741;R110
09003;742;R110
09003;743;R085
09003;743;R110
09003;745;R110
09003;745;R294
09003;749;R011
09003;749;R015
09003;749;R058
09003;749;R067
09003;749;R110
09003;749;R269
09003;749;R276
09003;749;R283
09003;750;R015
09003;750;R058
09003;750;R110
09003;751;R011
09003;751;R015
09003;751;R058
09003;751;R067
09003;751;R110
09003;751;R158
09003;751;R269
09003;751;R276
09003;751;R279
09003;751;R283
09003;752;R015
09003;752;R058
09003;752;R110
09003;753;R015
09003;753;R058
09003;753;R110
09003;759;R110
09003;762;R110
09003;770;R085
09003;770;R110
09003;770;R116
09003;770;R169
09003;770;R230
09003;770;R239
09003;773;R012
09003;773;R085
09003;773;R110
09003;773;R116
09003;773;R169
09003;773;R230
09003;773;R239
09003;786;R012
09003;786;R067
09003;786;R085
09003;786;R116
09003;786;R141
09003;786;R169
09003;786;R179
09003;786;R230
09003;786;R239
09003;788;R012
09003;788;R085
09003;788;R110
09003;788;R116
09003;788;R141
09003;788;R169
09003;788;R230
09003;788;R239
09003;789;R011
09003;789;R012
09003;789;R067
09003;789;R085
09003;789;R110
09003;789;R116
09003;789;R141
09003;789;R158
09003;789;R169
09003;789;R179
09003;789;R212
09003;789;R230
09003;789;R239
09003;789;R276
09003;789;R279
09003;789;R283
09003;794;R015
09003;794;R058
09003;794;R110
09004;731;R085
09004;731;R110
09004;740;R110
09004;741;R085
09004;741;R110
09004;742;R110
09004;743;R085
09004;743;R110
09004;745;R110
09004;749;R015
09004;749;R110
09004;749;R270
09004;750;R015
09004;750;R110
09004;751;R015
09004;751;R037
09004;751;R110
09004;751;R270
09004;752;R015
09004;752;R110
09004;753;R015
09004;753;R110
09004;759;R110
09004;762;R110
09004;770;R085
09004;770;R110
09004;773;R085
09004;773;R110
09004;786;R085
09004;788;R085
09004;788;R110
09004;789;R037
09004;789;R085
09004;789;R110
09004;789;R134
09004;789;R270
09004;789;R279
09004;794;R015
09004;794;R110
09016;731;R189
09016;749;R016
09016;749;R245
09016;749;R256
09016;749;R275
09016;750;R016
09016;751;R016
09016;751;R245
09016;751;R256
09016;751;R275
09016;752;R016
09016;753;R016
09016;758;R189
09016;759;R189
09016;762;R189
09016;770;R115
09016;770;R239
09016;773;R115
09016;773;R239
09016;786;R115
09016;786;R239
09016;788;R115
09016;788;R239
09016;789;R115
09016;789;R189
09016;789;R212
09016;789;R239
09016;789;R245
09016;789;R256
09016;789;R275
09016;794;R016
09019;749;R015
09019;750;R015
09019;751;R015
09019;752;R015
09019;753;R015
09019;770;R116
09019;773;R116
09019;786;R116
09019;788;R116
09019;789;R116
09019;794;R015
09021;749;R015
09021;749;R058
09021;749;R066
09021;749;R067
09021;749;R068
09021;749;R269
09021;750;R015
09021;750;R058
09021;751;R015
09021;751;R058
09021;751;R066
09021;751;R067
09021;751;R068
09021;751;R269
09021;752;R015
09021;752;R058
09021;753;R015
09021;753;R058
09021;770;R116
09021;770;R169
09021;773;R116
09021;773;R169
09021;786;R066
09021;786;R067
09021;786;R068
09021;786;R116
09021;786;R141
09021;786;R169
09021;788;R116
09021;788;R141
09021;788;R169
09021;789;R066
09021;789;R067
09021;789;R068
09021;789;R116
09021;789;R134
09021;789;R141
09021;789;R169
09021;794;R015
09021;794;R058
09023;770;R116
09023;773;R116
09023;786;R116
09023;788;R116
09023;789;R116
09037;731;R110
09037;740;R110
09037;741;R110
09037;742;R110
09037;743;R110
09037;745;R110
09037;749;R015
09037;749;R058
09037;749;R110
09037;750;R015
09037;750;R058
09037;750;R110
09037;751;R015
09037;751;R058
09037;751;R110
09037;752;R015
09037;752;R058
09037;752;R110
09037;753;R015
09037;753;R058
09037;753;R110
09037;759;R110
09037;762;R110
09037;770;R110
09037;770;R239
09037;773;R110
09037;773;R239
09037;786;R239
09037;788;R110
09037;788;R239
09037;789;R110
09037;789;R239
09037;794;R015
09037;794;R058
09037;794;R110
09040;731;R110
09040;731;R206a
09040;740;R110
09040;740;R206a
09040;741;R206a
09040;742;R110
09040;742;R206a
09040;743;R110
09040;743;R206a
09040;745;R110
09040;745;R206a
09040;749;R015
09040;749;R058
09040;749;R060
09040;749;R110
09040;750;R015
09040;750;R058
09040;750;R110
09040;751;R015
09040;751;R058
09040;751;R110
09040;752;R015
09040;752;R058
09040;752;R110
09040;753;R015
09040;753;R058
09040;753;R110
09040;759;R110
09040;762;R110
09040;770;R110
09040;770;R169
09040;773;R110
09040;773;R169
09040;786;R141
09040;786;R152
09040;786;R169
09040;788;R110
09040;788;R141
09040;788;R152
09040;788;R169
09040;789;R110
09040;789;R141
09040;789;R152
09040;789;R169
09040;794;R015
09040;794;R058
09040;794;R110
09042;731;R078
09042;731;R110
09042;731;R181
09042;731;R294
09042;740;R110
09042;741;R110
09042;742;R110
09042;743;R110
09042;743;R294
09042;745;R110
09042;745;R294
09042;749;R015
09042;749;R058
09042;749;R110
09042;749;R247
09042;749;R269
09042;750;R015
09042;750;R058
09042;750;R110
09042;751;R015
09042;751;R058
09042;751;R110
09042;751;R247
09042;751;R269
09042;752;R015
09042;752;R058
09042;752;R110
09042;753;R015
09042;753;R058
09042;753;R110
09042;759;R110
09042;762;R110
09042;770;R110
09042;770;R169
09042;773;R110
09042;773;R169
09042;786;R025
09042;786;R131
09042;786;R169
09042;786;R181
09042;786;R247
09042;788;R025
09042;788;R110
09042;788;R247
09042;789;R025
09042;789;R045
09042;789;R110
09042;789;R131
09042;789;R169
09042;789;R181
09042;789;R247
09042;794;R015
09042;794;R058
09042;794;R110
09050;731;R085
09050;731;R092
09050;731;R110
09050;731;R191
09050;731;R285
09050;731;R286
09050;731;R287
09050;731;R294
09050;731;R307
09050;740;R092
09050;740;R110
09050;740;R191
09050;740;R285
09050;740;R286
09050;740;R287
09050;740;R294
09050;740;R307
09050;741;R085
09050;741;R092
09050;741;R110
09050;741;R191
09050;741;R285
09050;741;R286
09050;741;R287
09050;741;R294
09050;741;R307
09050;742;R092
09050;742;R110
09050;742;R191
09050;742;R285
09050;742;R286
09050;742;R287
09050;742;R294
09050;742;R307
09050;743;R085
09050;743;R110
09050;745;R092
09050;745;R110
09050;745;R191
09050;745;R294
09050;749;R015
09050;749;R058
09050;749;R110
09050;749;R247
09050;749;R269
09050;750;R015
09050;750;R058
09050;750;R110
09050;751;R015
09050;751;R058
09050;751;R110
09050;751;R247
09050;751;R269
09050;752;R015
09050;752;R058
09050;752;R110
09050;753;R015
09050;753;R058
09050;753;R110
09050;759;R110
09050;762;R110
09050;770;R085
09050;770;R110
09050;773;R085
09050;773;R110
09050;786;R025
09050;786;R085
09050;786;R109
09050;786;R131
09050;786;R247
09050;786;R286
09050;786;R307
09050;788;R025
09050;788;R045
09050;788;R085
09050;788;R109
09050;788;R110
09050;788;R131
09050;788;R247
09050;788;R285
09050;788;R286
09050;788;R287
09050;788;R307
09050;789;R025
09050;789;R045
09050;789;R085
09050;789;R109
09050;789;R110
09050;789;R131
09050;789;R134
09050;789;R238
09050;789;R247
09050;789;R285
09050;789;R286
09050;789;R287
09050;789;R307
09050;794;R015
09050;794;R058
09050;794;R110
09054;731;R085
09054;731;R159
09054;740;R159
09054;741;R085
09054;741;R159
09054;742;R159
09054;743;R085
09054;745;R159
09054;770;R085
09054;773;R085
09054;786;R085
09054;788;R085
09054;788;R108
09054;789;R085
09054;789;R108
09063;731;R144
09063;731;R252
09063;731;R292
09063;745;R144
09063;749;R269
09063;751;R042
09063;751;R269
09063;770;R169
09063;773;R169
09063;785;R144
09063;786;R131
09063;786;R144
09063;786;R169
09063;788;R169
09063;789;R131
09063;789;R144
09063;789;R169
09068;731;R145
09068;743;R145
09068;745;R145
09068;785;R145
09068;786;R145
09068;789;R145
09070;731;R091
09070;731;R103
09070;731;R110
09070;731;R130
09070;731;R144
09070;731;R274
09070;731;R294
09070;740;R110
09070;741;R110
09070;742;R110
09070;743;R091
09070;743;R103
09070;743;R110
09070;743;R274
09070;745;R091
09070;745;R103
09070;745;R110
09070;745;R130
09070;745;R144
09070;745;R274
09070;745;R294
09070;749;R015
09070;749;R058
09070;749;R103
09070;749;R110
09070;749;R269
09070;750;R015
09070;750;R058
09070;750;R110
09070;751;R015
09070;751;R042
09070;751;R058
09070;751;R103
09070;751;R110
09070;751;R269
09070;751;R274
09070;752;R015
09070;752;R058
09070;752;R110
09070;753;R015
09070;753;R058
09070;753;R110
09070;759;R110
09070;762;R110
09070;770;R110
09070;770;R116
09070;770;R169
09070;773;R110
09070;773;R116
09070;773;R169
09070;785;R144
09070;786;R116
09070;786;R131
09070;786;R141
09070;786;R144
09070;786;R152
09070;786;R169
09070;788;R110
09070;788;R116
09070;788;R131
09070;788;R141
09070;788;R152
09070;788;R169
09070;789;R103
09070;789;R110
09070;789;R116
09070;789;R131
09070;789;R134
09070;789;R141
09070;789;R144
09070;789;R152
09070;789;R169
09070;789;R238
09070;789;R274
09070;794;R015
