NDB_No;FdGrp_Cd;Long_Desc;SciName
01103;0100;Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D;
02007;0200;Spices, celery seed;Apium graveolens
02023;0200;Spices, marjoram, dried;Origanum majorana
02029;0200;Spices, parsley, dried;Petroselinum crispum
02037;0200;Spices, saffron;Crocus sativus
02044;0200;Basil, fresh;Ocimum basilicum
02045;0200;Dill weed, fresh;Anethum graveolens
02049;0200;Thyme, fresh;Thymus vulgaris
02054;0200;Capers, canned;Capparis spinosa
02063;0200;Rosemary, fresh;Rosmarinus officinalis
02064;0200;Peppermint, fresh;Mentha x piperita L. nothosubsp. piperita
04053;0400;Oil, olive, salad or cooking;
06159;0600;Soup, tomato, canned, condensed;
06931;0600;Sauce, pasta, spaghetti/marinara, ready-to-serve;
09001;0900;Acerola, (west indian cherry), raw;Malpighia emarginata
09003;0900;Apples, raw, with skin;Malus domestica
09004;0900;Apples, raw, without skin;Malus domestica
09016;0900;Juice, apple, canned or bottled, unsweetened, without added ascorbic acid;
09019;0900;Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity);
09021;0900;Apricots, raw;Prunus armeniaca
09023;0900;Apricots, canned, water pack, without skin, solids and liquids;
09037;0900;Avocados, raw, all commercial varieties;Persea americana
09040;0900;Bananas, raw;Musa acuminata Colla
09042;0900;Blackberries, raw;Rubus spp.
09050;0900;Blueberries, cultivated (highbush), raw;Vaccinium spp.
09054;0900;Blueberries, frozen, unsweetened;
09063;0900;Cherries, sour, red, raw;Prunus cerasus
09068;0900;Cherries, sour, red, frozen, unsweetened;
09070;0900;Cherries, sweet, raw;Prunus avium
09078;0900;Cranberries, raw;Vaccinium macrocarpon
09079;0900;Cranberries, dried, sweetened;
09081;0900;Cranberry sauce, canned, sweetened;
09083;0900;Currants, european black, raw;Ribes nigrum
09086;0900;Custard-apple, (bullock's-heart), raw;Annona reticulata
09087;0900;Dates, deglet noor;Phoenix dactylifera
09088;0900;Elderberries, raw;Sambucus spp.
09089;0900;Figs, raw;Ficus carica
09107;0900;Gooseberries, raw;Ribes spp.
09112;0900;Grapefruit, raw, pink and red, all areas;Citrus paradisi
09116;0900;Grapefruit, raw, white, all areas;Citrus paradisi
09123;0900;Juice, grapefruit, white, canned, unsweetened;
09126;0900;Juice, grapefruit concentrate, white, frozen, unsweetened, diluted with 3 volume water;
09128;0900;Juice, grapefruit, white, raw;
09135;0900;Juice, grape, canned or bottled, unsweetened, without added ascorbic acid;
09146;0900;Jujube, raw;Ziziphus jujuba
09148;0900;Kiwifruit, green, raw;Actinidia deliciosa
09149;0900;Kumquats, raw;Fortunella spp.
09150;0900;Lemons, raw, without peel;Citrus limon
09152;0900;Juice, lemon, raw;
09153;0900;Juice, lemon, canned or bottled;
09159;0900;Limes, raw;Citrus latifolia
09160;0900;Juice, lime, raw;
09176;0900;Mangos, raw;Mangifera indica
09181;0900;Melons, cantaloupe, raw;Cucumis melo
09184;0900;Melons, honeydew, raw;Cucumis melo
09190;0900;Mulberries, raw;Morus nigra
09191;0900;Nectarines, raw;Prunus persica var. nucipersica
09193;0900;Olives, ripe, canned (small-extra large);Olea europaea
09195;0900;Olives, pickled, canned or bottled, green;
09200;0900;Oranges, raw, all commercial varieties;Citrus sinensis
09202;0900;Oranges, raw, navels;Citrus sinensis
09206;0900;Juice, orange, raw;
09209;0900;Juice, orange, chilled, includes from concentrate;
09215;0900;Juice, orange, frozen concentrate, unsweetened, diluted with 3 volume water;
09218;0900;Tangerines, (mandarin oranges), raw;Citrus reticulata
09221;0900;Juice, tangerine, raw;
09225;0900;Juice, tangerine, frozen concentrate, sweetened, diluted with 3 volume water;
09226;0900;Papayas, raw;Carica papaya
09236;0900;Peaches, raw;Prunus persica
09252;0900;Pears, raw;Pyrus communis
09266;0900;Pineapple, raw, all varieties;Ananas comosus
09273;0900;Pineapple juice, canned, unsweetened, without added ascorbic acid;
09276;0900;Pitanga, (surinam-cherry), raw;Eugenia uniflora
09279;0900;Plums, raw;Prunus spp.
09286;0900;Pomegranates, raw;Punica granatum
09287;0900;Prickly pears, raw;Opuntia spp.
09291;0900;Plums, dried (prunes), uncooked;
09295;0900;Pummelo, raw;Citrus maxima
09296;0900;Quinces, raw;Cydonia oblonga
09297;0900;Raisins, golden seedless;Vitis vinifera
09298;0900;Raisins, seedless;Vitis vinifera
09302;0900;Raspberries, raw;Rubus spp.
09307;0900;Rhubarb, raw;Rheum rhabarbarum
09315;0900;Soursop, raw;Annona muricata
09316;0900;Strawberries, raw;Fragaria X ananassa
09318;0900;Strawberries, frozen, unsweetened;
09326;0900;Watermelon, raw;Citrullus lanatus
09370;0900;Peaches, canned, heavy syrup, drained;
09404;0900;Juice, grapefruit, pink, raw;
09430;0900;Pineapple, raw, extra sweet variety;Ananas comosus
09442;0900;Juice, pomegranate, bottled;
09445;0900;Kiwifruit, gold, raw;Actinidia chinensis
09500;0900;Apples, Red Delicious, raw. with skin;
09501;0900;Apples, Golden Delicious, raw, with skin;
09502;0900;Apples, Granny Smith, raw, with skin;
09503;0900;Apples, Gala, raw, with skin;
09504;0900;Apples, Fuji, raw, with skin;
11001;1100;Alfalfa seeds, sprouted, raw;Medicago sativa
11004;1100;Amaranth leaves, cooked, boiled, drained, without salt;
11006;1100;Arrowhead, cooked, boiled, drained, without salt;
11007;1100;Artichokes, (globe or french), raw;Cynara scolymus
11011;1100;Asparagus, raw;Asparagus officinalis
11012;1100;Asparagus, cooked, boiled, drained;
11025;1100;Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt;
11031;1100;Lima beans, immature seeds, raw;Phaseolus lunatus
11043;1100;Mung beans, mature seeds, sprouted, raw;Vigna radiata
11052;1100;Beans, snap, green, raw;Phaseolus vulgaris
11053;1100;Beans, snap, green, cooked, boiled, drained, without salt;
11056;1100;Beans, snap, green, canned, regular pack, drained solids;
11060;1100;Beans, snap, green, frozen, all styles, unprepared;
11061;1100;Beans, snap, green, frozen, cooked, boiled, drained without salt;
11080;1100;Beets, raw;Beta vulgaris
11088;1100;Broadbeans, immature seeds, raw;Vicia faba
11089;1100;Broadbeans, immature seeds, cooked, boiled, drained, without salt;
11090;1100;Broccoli, raw;Brassica oleracea var. italica
11091;1100;Broccoli, cooked, boiled, drained, without salt;
11092;1100;Broccoli, frozen, chopped, unprepared;
11096;1100;Broccoli raab, raw;Brassica ruvo
11097;1100;Broccoli raab, cooked;
11098;1100;Brussels sprouts, raw;Brassica oleracea (Gemmifera Group)
11099;1100;Brussels sprouts, cooked, boiled, drained, without salt;
11109;1100;Cabbage, raw;Brassica oleracea (Capitata Group)
11110;1100;Cabbage, cooked, boiled, drained, without salt;
11112;1100;Cabbage, red, raw;Brassica oleracea (Capitata Group)
11113;1100;Cabbage, red, cooked, boiled, drained, without salt;
11114;1100;Cabbage, savoy, raw;Brassica oleracea (Capitata Group)
11115;1100;Cabbage, savoy, cooked, boiled, drained, without salt;
11116;1100;Cabbage, chinese (pak-choi), raw;Brassica rapa (Chinensis Group)
11117;1100;Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt;
11119;1100;Cabbage, chinese (pe-tsai), raw;Brassica rapa (Pekinensis Group)
11124;1100;Carrots, raw;Daucus carota
11125;1100;Carrots, cooked, boiled, drained, without salt;
11128;1100;Carrots, canned, regular pack, drained solids;
11135;1100;Cauliflower, raw;Brassica oleracea (Botrytis Group)
11136;1100;Cauliflower, cooked, boiled, drained, without salt;
11137;1100;Cauliflower, frozen, unprepared;
11138;1100;Cauliflower, frozen, cooked, boiled, drained, without salt;
11141;1100;Celeriac, raw;Apium graveolens
11143;1100;Celery, raw;Apium graveolens
11147;1100;Chard, swiss, white leaf, raw;Beta vulgaris subsp. vulagaris
11152;1100;Chicory greens, raw;Cichorium intybus
11156;1100;Chives, raw;Allium schoenoprasum
11161;1100;Collards, raw;Brassica oleracea var. viridis
11165;1100;Coriander (cilantro) leaves, raw;Coriandrum sativum
11167;1100;Corn, sweet, yellow, raw;
11191;1100;Cowpeas (blackeyes), immature seeds, raw;Vigna unguiculata Subsp. Unguiculata
11200;1100;Yardlong bean, cooked, boiled, drained, without salt;
11203;1100;Cress, garden, raw;Lepidium sativum
11204;1100;Cress, garden, cooked, boiled, drained, without salt;
11205;1100;Cucumber, with peel, raw;Cucumis sativus
11209;1100;Eggplant, raw;Solanum melongena
11213;1100;Endive, raw;Cichorium endivia
11215;1100;Garlic, raw;Allium sativum
11220;1100;Gourd, dishcloth (towelgourd), raw;Luffa aegyptiaca
11222;1100;Drumstick (horseradish tree) leaves, raw;Moringa oleifera
11233;1100;Kale, raw;Brassica oleracea (Acephala Group)
11241;1100;Kohlrabi, raw;Brassica oleracea (Gongylodes Group)
11246;1100;Leeks, (bulb and lower leaf-portion), raw;Allium ampeloprasum
11250;1100;Lettuce, butterhead (includes boston and bibb types), raw;Lactuca sativa var. capitata
11251;1100;Lettuce, cos or romaine, raw;Lactuca sativa var. logifolia
11252;1100;Lettuce, iceberg (includes crisphead types), raw;Lactuca sativa var. capitata
11253;1100;Lettuce, green leaf, raw;Lactuca sativa var. crispa
11254;1100;Lotus root, raw;Nelumbo nucifera
11257;1100;Lettuce, red leaf, raw;Lactuca sativa var. crispa
11260;1100;Mushrooms, white, raw;Agaricus bisporus
11264;1100;Mushrooms, canned, drained solids;
11270;1100;Mustard greens, raw;Brassica juncea
11276;1100;New Zealand spinach, raw;Tetragonia tetragonioides
11278;1100;Okra, raw;Abelmoschus esculentus
11282;1100;Onions, raw;Allium cepa
11283;1100;Onions, cooked, boiled, drained, without salt;
