NDB_No;Nutr_no;Flav_Val;SE;n;Min;Max;CC
01103;749;0.82;0.71;2;0.11;1.53;B
01103;750;0.0;;2;0.0;0.0;B
01103;751;0.26;0.21;2;0.06;0.47;B
01103;752;0.0;;2;0.0;0.0;B
01103;753;0.0;;2;0.0;0.0;B
01103;770;0.0;;1;0.0;0.0;C
01103;773;0.0;;1;0.0;0.0;C
01103;786;0.0;;1;0.0;0.0;C
01103;788;0.05;;1;0.05;0.05;C
01103;789;0.12;;1;0.12;0.12;C
01103;794;0.0;;2;0.0;0.0;B
02007;770;78.65;;1;78.65;78.65;C
02007;773;762.4;;1;762.4;762.4;C
02023;762;0.0;;1;0.0;0.0;D
02023;770;3.5;;1;3.5;3.5;D
02023;773;0.0;;1;0.0;0.0;D
02023;786;0.0;;1;0.0;0.0;D
02023;789;0.0;;1;0.0;0.0;D
02029;770;4503.5;2254.33;5;1774.6;13506.22;B
02029;773;19.75;;1;19.75;19.75;B
02029;785;331.24;;1;331.24;331.24;B
02029;786;0.0;;1;0.0;0.0;B
02029;789;0.0;;4;0.0;0.0;C
02037;786;205.48;49.23;12;146.75;318.35;B
02044;759;0.0;;1;0.0;0.0;C
02044;770;0.0;;1;0.0;0.0;C
02044;773;0.0;;1;0.0;0.0;C
02044;785;0.0;;1;0.0;0.0;C
02044;786;0.0;;1;0.0;0.0;C
02044;789;0.0;;1;0.0;0.0;C
02045;759;0.0;;2;0.0;0.0;C
02045;770;0.0;;3;0.0;0.0;C
02045;773;0.0;;3;0.0;0.0;C
02045;785;43.5;28.5;2;15.0;72.0;C
02045;786;13.33;7.06;3;0.0;24.0;C
02045;788;0.7;;1;0.7;0.7;C
02045;789;55.15;29.82;3;7.45;110.0;C
02049;759;0.0;;1;0.0;0.0;C
02049;762;0.0;;1;0.0;0.0;C
02049;770;2.5;2.5;2;0.0;5.0;C
02049;773;45.25;5.75;2;39.5;51.0;C
02049;785;0.0;;1;0.0;0.0;C
02049;786;0.0;;2;0.0;0.0;C
02049;789;0.0;;2;0.0;0.0;C
02054;786;131.34;12.13;20;59.49;247.97;B
02054;789;172.55;26.49;20;45.05;519.85;B
02063;759;0.0;;1;0.0;0.0;C
02063;762;24.86;;1;24.86;24.86;C
02063;770;0.55;0.55;2;0.0;1.1;C
02063;773;2.0;2.0;2;0.0;4.0;C
02063;785;0.0;;1;0.0;0.0;C
02063;786;0.0;;2;0.0;0.0;C
02063;789;0.0;;2;0.0;0.0;C
02064;758;30.92;2.57;28;12.27;54.53;C
02064;759;10.16;0.98;30;0.0;21.94;C
02064;770;5.39;3.28;30;0.24;99.0;C
02064;773;12.66;1.17;30;5.49;42.0;C
02064;785;0.0;;2;0.0;0.0;C
02064;786;0.0;;2;0.0;0.0;C
02064;789;0.0;;2;0.0;0.0;C
04053;770;0.09;0.01;21;0.0;0.24;B
04053;773;0.12;0.0;456;0.0;0.79;A
06159;786;0.0;;3;0.0;0.0;C
06159;789;0.14;;3;0.14;0.14;C
06931;786;0.01;;3;0.01;0.01;C
06931;789;0.91;;3;0.91;0.91;C
09001;731;15.71;5.18;2;10.53;20.89;C
09001;743;6.84;2.45;2;4.4;9.29;C
09001;770;0.0;;14;0.0;0.0;B
09001;773;0.0;;14;0.0;0.0;B
09001;786;1.05;0.26;14;0.9;1.2;B
09001;788;0.0;;14;0.0;0.0;B
09001;789;4.74;1.16;14;4.1;5.3;B
09003;731;1.57;0.28;95;0.0;15.42;B
09003;740;0.0;;20;0.0;0.0;A
09003;741;0.0;0.0;24;0.0;0.02;A
09003;742;0.0;;20;0.0;0.0;A
09003;743;0.0;0.0;24;0.0;0.02;A
09003;745;0.02;0.01;22;0.0;0.28;A
09003;749;1.3;0.07;140;0.0;5.1;B
09003;750;0.26;0.07;59;0.0;2.51;A
09003;751;7.53;0.44;150;0.8;19.16;B
09003;752;0.01;0.0;59;0.0;0.19;A
09003;753;0.19;0.11;59;0.0;6.26;A
09003;759;0.0;;19;0.0;0.0;A
09003;762;0.0;;19;0.0;0.0;A
09003;770;0.0;0.0;51;0.0;0.01;B
09003;773;0.12;0.08;42;0.0;2.7;B
09003;786;0.14;0.07;37;0.0;2.67;B
09003;788;0.0;0.0;53;0.0;0.03;B
09003;789;4.01;0.12;139;0.0;11.47;B
09003;794;0.0;;59;0.0;0.0;A
09004;731;2.17;1.34;6;0.6;8.9;B
09004;740;0.0;;4;0.0;0.0;B
09004;741;0.01;0.0;8;0.0;0.02;B
09004;742;0.0;;4;0.0;0.0;B
09004;743;0.01;0.0;8;0.0;0.02;B
09004;745;0.0;;4;0.0;0.0;B
