,Sunday % of diet plan,Monday % of diet plan,Tuesday % of diet plan,Wednesday % of diet plan,Thursday % of diet plan,Friday % of diet plan,Saturday % of diet plan,Daily average % of diet plan
Alcohol,0.0,,,,,0.0,,0.0
Apigenin,0.0,,,,,,,0.0
Caffeine,,,,,,,,
Calcium,3.863667724575686,10.887350534927627,10.822987585102124,,31.48478962156162,3.008752735229759,39.796403767481685,16.64399199481308
Calories,10.693729172977884,1.6741900980765394,267.2141352231373,,669.1126494650723,0.40010929814973845,25.532610609452426,162.437903977811
Carbohydrates,13.841547673883003,,230.21844660194174,,515.1469855505729,2.6563364692861096,56.37997005489935,163.64865727011662
Catechin,100.0,,,,,0.0,,50.0
Cholesterol,0.0,0.0,,,,0.0,366.5024630541872,91.6256157635468
Choline,4590.476190476191,1.3051316889632105,5.8548276649166855,,236.56387665198238,4.347826086956522,0.0,806.4246420948351
Copper,10.0,6.666666666666667,20.33898305084746,,283.33333333333337,0.0,250.0,95.05649717514125
Cyanidin,,,,,,0.0,,0.0
Delphinidin,,,,,,,,
Epicatechin,0.0,,,,,0.0,,0.0
Epicatechin 3-gallate,,,,,,0.0,,0.0
Epigallocatechin,,,,,,0.0,,0.0
Epigallocatechin 3-gallate,0.0,,,,,0.0,,0.0
Eriodictyol,,,,,,,,
Estimated cost,0.9639203923088588,1.1761985000165196,13.406766908018897,,166.36947751158038,0.34383058529342814,95.38166214995482,46.27364267452882
Fat,1.317365269461078,0.0788073816247455,700.8474576271186,,698.5207100591716,0.03735524841240195,7.827476038338658,234.7715286040212
Fiber,88.79184861717611,,30.130130130130127,,70.66093498119291,4.810996563573884,57.560975609756106,50.39097718036582
Folate,73.14093754771721,178.63436123348018,7.0609473636404925,,23.021173795651553,8.535489667565137,141.11979166666666,71.91878354578688
Folic Acid,,,,,,,,
Gallocatechin,,,,,,,,
Hesperetin,0.0,,,,,0.0,,0.0
Iron,44.24778761061947,9.620253164556962,12.43396993092239,,128.51239669421489,0.6535947712418301,60.08064516129033,42.59144122214098
Isorhamnetin,,,,,0.0,0.0,,0.0
Kaempferol,0.0,,0.08631106507854307,,0.051772014872687906,2.631578947368421,,0.6924155068299129
Luteolin,0.0,,0.14880952380952384,,,8.333333333333334,,2.8273809523809526
Lycopene,,,,,,,,
Magnesium,19.00607571272784,7.349872478553212,7.012212122901912,,109.69830463222534,1.00993098804915,104.91470349309505,41.498516571258754
Malvidin,0.0,,,,,0.0,,0.0
Manganese,52.0,107.69230769230771,11.916461916461914,,40.46822742474916,5.555555555555556,3600.0,636.2720920981791
Mono Unsaturated Fat,,0.027952480782669466,22.222222222222225,,119.14893617021278,0.0,,35.349777718304416
Myricetin,0.0,,0.0,,,0.0,0.0,0.0
Naringenin,0.0,,,,,0.0,,0.0
Net Carbohydrates,7.411116675012519,,538.2126348228044,,6222.758620689656,2.242744063324538,56.293519014461715,1365.3837270530516
Nutrition Score,18.435929648241206,7.550266721378744,24.63410876598367,,99.46595460614154,4.164800716524855,105.4263565891473,43.279569507902885
Pelargonidin,,,,,,,,
Peonidin,,,,,,0.0,,0.0
Petunidin,,,,,,,,
